,Symbol,Name,Company Token,Market Cap,Country
800,ocul,ocular therapeutix inc. common stock,"['ocular', 'therapeutix']",480556631.0,united states
801,ocup,ocuphire pharma inc. common stock,['ocuphire'],129876546.0,united states
802,ocx,oncocyte corporation common stock,['oncocyte'],31251051.0,united states
804,ogen,oragenics inc. common stock,['oragenics'],5519620.0,united states
805,ogi,organigram holdings inc. common shares,['organigram'],161182232.0,canada
806,ogn,organon & co. common stock ,['organon'],5696901283.0,
808,olma,olema pharmaceuticals inc. common stock,['olema'],269591648.0,united states
811,omer,omeros corporation common stock,['omeros'],323253996.0,united states
812,omga,omega therapeutics inc. common stock,['omega'],474299027.0,united states
817,onct,oncternal therapeutics inc. common stock,['oncternal'],18511721.0,united states
818,oncy,oncolytics biotech inc. common shares,['oncolytics'],101614067.0,canada
819,ontx,onconova therapeutics inc. common stock,['onconova'],28730393.0,united states
825,opt,opthea limited american depositary shares,['opthea'],213615194.0,australia
826,optn,optinose inc. common stock,['optinose'],226974448.0,united states
827,orgo,organogenesis holdings inc. class a common stock,['organogenesis'],276781782.0,united states
828,orgs,orgenesis inc. common stock,['orgenesis'],22978249.0,united states
829,oric,oric pharmaceuticals inc. common stock,['oric'],232670669.0,united states
830,ormp,oramed pharmaceuticals inc. common stock,['oramed'],111394676.0,israel
835,ovid,ovid therapeutics inc. common stock,['ovid'],256589096.0,united states
838,pali,palisade bio inc. common stock,['palisade'],26848596.0,united states
839,pasg,passage bio inc. common stock,['passage'],55855791.0,united states
843,pbh,prestige consumer healthcare inc. common stock,['prestige'],3008091421.0,united states
844,pbla,panbela therapeutics inc. common stock,['panbela'],6422184.0,united states
845,pbyi,puma biotechnology inc common stock,['puma'],148319191.0,united states
846,pcrx,pacira biosciences inc. common stock,['pacira'],1960341189.0,united states
847,pcsa,processa pharmaceuticals inc. common stock,['processa'],17681466.0,united states
848,pcvx,vaxcyte inc. common stock,['vaxcyte'],4764862822.0,united states
851,pdsb,pds biotechnology corporation common stock,['pds'],200425470.0,united states
852,pepg,pepgen inc. common stock,['pepgen'],358155489.0,united states
853,petq,petiq inc. class a common stock,['petiq'],343487738.0,united states
859,phar,pharming group n.v. ads each representing 10 ordinary shares,"['pharming', 'ads', 'each', 'representing', '10']",739048096.0,netherlands
860,phat,phathom pharmaceuticals inc. common stock,['phathom'],536970748.0,united states
861,phge,biomx inc. common stock,['biomx'],9788623.0,
862,phio,phio pharmaceuticals corp. common stock,['phio'],5973123.0,united states
864,phvs,pharvaris n.v. ordinary shares,['pharvaris'],305362625.0,netherlands
866,pirs,pieris pharmaceuticals inc. common stock,['pieris'],63713833.0,germany
878,ppbt,purple biotech ltd. american depositary shares,['purple'],41623353.0,israel
879,prax,praxis precision medicines inc. common stock,['praxis'],57108499.0,united states
882,prfx,painreform ltd. ordinary shares,['painreform'],8003818.0,israel
883,prgo,perrigo company plc ordinary shares,['perrigo'],4826103767.0,united states
886,proc,procaps group s.a. ordinary shares,"['procaps', 's.a.']",514478274.0,luxembourg
887,procw,procaps group s.a. warrants,"['procaps', 's.a.']",0.0,luxembourg
889,prph,prophase labs inc. common stock (de),['prophase'],144471609.0,united states
890,prqr,proqr therapeutics n.v. ordinary shares,['proqr'],168099524.0,netherlands
891,prta,prothena corporation plc ordinary shares,['prothena'],4159614880.0,united states
893,prtk,paratek pharmaceuticals inc. common stock,['paratek'],99068950.0,united states
897,ptct,ptc therapeutics inc. common stock,['ptc'],4124790247.0,united states
899,ptgx,protagonist therapeutics inc. common stock,['protagonist'],1405190895.0,united states
900,ptix,protagenic therapeutics inc. common stock,['protagenic'],8468736.0,united states
901,ptixw,protagenic therapeutics inc. warrant,['protagenic'],0.0,united states
902,ptn,palatin technologies inc. common stock,['palatin'],24647423.0,united states
903,ptpi,petros pharmaceuticals inc. common stock,['petros'],7937052.0,united states
904,pulm,pulmatrix inc. common stock,['pulmatrix'],10938594.0,united states
907,pyr,pyrogenesis canada inc. common shares,['pyrogenesis'],131881622.0,canada
908,pyxs,pyxis oncology inc. common stock,['pyxis'],107617305.0,united states
912,qli,qilian international holding group ltd. ordinary shares,['qilian'],41112500.0,china
915,qsi,quantum-si incorporated class a common stock,['quantum-si'],200834313.0,united states
916,qsiaw,quantum-si incorporated warrant,['quantum-si'],0.0,united states
918,qure,uniqure n.v. ordinary shares,['uniqure'],1003545880.0,netherlands
919,rain,rain oncology inc. common stock,['rain'],315268727.0,united states
921,rapt,rapt therapeutics inc. common stock,['rapt'],656305451.0,united states
922,rare,ultragenyx pharmaceutical inc. common stock,['ultragenyx'],3376545206.0,united states
925,rckt,rocket pharmaceuticals inc. common stock,['rocket'],1675427952.0,united states
926,rcus,arcus biosciences inc. common stock,['arcus'],1435249917.0,
927,rdhl,redhill biopharma ltd. american depositary shares,['redhill'],3447076850.0,israel
929,repl,replimune group inc. common stock,['replimune'],997127542.0,united states
930,reta,reata pharmaceuticals inc. class a common stock,['reata'],3852549323.0,united states
932,revb,revelation biosciences inc. common stock,['revelation'],5371344.0,united states
933,revbw,revelation biosciences inc. warrant,['revelation'],0.0,united states
934,rfl,rafael holdings inc. class b common stock,['rafael'],47648805.0,united states
937,rgls,regulus therapeutics inc. common stock,['regulus'],23407963.0,united states
940,rigl,rigel pharmaceuticals inc. common stock,['rigel'],202306156.0,united states
941,rlay,relay therapeutics inc. common stock,['relay'],1370263200.0,united states
