Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SEB,Seaboard Corporation Common Stock,$4015.59,-30.86,-0.763%,4661212545.00,United States,1996,424,Industrials,Consumer Electronics/Appliances
SENS,Senseonics Holdings Inc. Common Stock,$1.17,0.01,0.862%,559559927.00,United States,,1848895,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SIF,SIFCO Industries Inc. Common Stock,$2.95,0.0219,0.748%,17816870.00,United States,1969,4955,Industrials,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$6.96,0.19,2.806%,1019631397.00,,2018,1198756,Industrials,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$31.26,0.00,0.00%,5186129999.00,Mexico,1998,87,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$3.415,0.025,0.737%,51098068.00,,2022,7081,Industrials,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$4.15,-0.02,-0.48%,691191618.00,,2021,343980,,
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.1919,0.0319,19.938%,37970181.00,United States,,1220412,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$0.8449,-0.0187,-2.165%,5941001.00,United States,1996,5031,Consumer Staples,Retail-Drug Stores and Proprietary Stores
STXS,Stereotaxis Inc. Common Stock,$2.30,-0.07,-2.954%,172142842.00,United States,,130406,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$2.99,0.03,1.014%,527938628.00,,,1458440,,
SVT,Servotronics Inc. Common Stock,$11.10,0.00,0.00%,27861466.00,United States,1970,348,Consumer Discretionary,Metal Fabrications
TELL,Tellurian Inc. Common Stock,$2.52,0.05,2.024%,1423340271.00,United States,,6328922,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$17.90,-0.08,-0.445%,0.00,United States,,7363,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$1.45,0.01,0.694%,415282783.00,Canada,,1025704,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.4455,0.0014,0.315%,87012023.00,Canada,,89017,,
TKAT,Takung Art Co. Ltd. Common Stock,$0.76,0.0163,2.192%,26593833.00,,,21301,Consumer Discretionary,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.53,-0.05,-3.165%,4546302.00,United States,2015,65235,Health Care, Medicinal Chemicals and Botanical Products 
TMP,Tompkins Financial Corporation Common Stock,$83.29,-0.47,-0.561%,1206352121.00,United States,1997,22063,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.6071,0.032,5.564%,88773219.00,Canada,,447727,,
TOVX,Theriva Biologics Inc. Common Stock,$0.72,0.00,0.00%,11407724.00,United States,,41920,Health Care,Biotechnology: Pharmaceutical Preparations
TPHS,Trinity Place Holdings Inc. Common Stock,$0.8399,0.2062,32.539%,30998913.00,,,85896,Real Estate,Real Estate
TRT,Trio-Tech International Common Stock,$5.20,0.16,3.175%,21198736.00,United States,1998,34023,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.348,0.001,0.288%,96098872.00,Canada,,418827,,
TWND,Tailwind Acquisition Corp. Class A Common Stock,$10.195,0.005,0.049%,118142046.00,,2020,6595,Industrials,Consumer Electronics/Appliances
UAMY,United States Antimony Corporation Common Stock,$0.4099,0.0497,13.798%,43602432.00,United States,,905057,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.4343,0.0104,2.453%,38151004.00,United States,,204579,Industrials,Wholesale Distributors
UEC,Uranium Energy Corp. Common Stock,$3.73,0.05,1.359%,1369175028.00,Canada,,5338452,Basic Materials,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$0.561,0.0008,0.143%,6582295.00,United States,2015,12136,Consumer Discretionary,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.26,-0.02,-1.563%,281138795.00,Canada,,674589,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.5538,0.0451,8.866%,106038831.00,,2017,763437,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$30.24,0.23,0.766%,2072215535.00,United States,2004,304659,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$3.0183,-0.0567,-1.844%,6980987.00,United States,2003,2742,Technology,Security Systems Services
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.77,0.02,0.296%,1067123978.00,,,980560,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$11.55,0.05,0.435%,242049827.00,United States,1993,28146,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.5648,-0.0052,-0.912%,66819621.00,United States,1986,165880,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.50,0.00,0.00%,105673302.00,,2021,79697,Industrials,Consumer Electronics/Appliances
VINE,Fresh Vine Wine Inc. Common Stock,$1.52,-0.0099,-0.647%,19353031.00,,2021,4418,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.82,-0.03,-0.339%,391661096.00,United States,1993,145424,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$2.24,-0.02,-0.885%,128847867.00,Singapore,2015,106399,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VZLA,Vizsla Silver Corp. Common Shares,$1.17,-0.0239,-2.002%,209056538.00,,2022,242508,,
WBEV,Winc Inc. Common Stock,$0.207,-0.0641,-23.644%,2752477.00,,2021,715301,Consumer Staples,Beverages (Production/Distribution)
WLMS,Williams Industrial Services Group Inc. Common Stock,$1.0574,-0.0426,-3.873%,27939427.00,,2021,91369,Industrials,Engineering & Construction
WRN,Western Copper and Gold Corporation Common Stock,$1.71,0.02,1.183%,259231706.00,Canada,2011,165747,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.6738,0.0638,3.963%,36081690.00,United States,1993,89499,Telecommunications,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$1.17,0.03,2.632%,56238018.00,United States,,223304,Basic Materials,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$2.1238,0.0038,0.179%,18531166.00,United States,,4694,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.629,0.0114,1.846%,40739621.00,United States,,98874,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.5985,0.0123,2.098%,65032644.00,United States,,16014,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$0.3239,0.0474,17.143%,19613957.00,United States,2017,854630,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$4.60,-0.1499,-3.156%,,United States,,7785,,
ZDGE,Zedge Inc. Class B Common Stock ,$2.31,-0.02,-0.858%,34282181.00,,2016,18275,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.2041,0.0009,0.443%,200007727.00,United States,2017,3061517,Health Care,Pharmaceuticals and Biotechnology
