Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GAU,Galiano Gold Inc.,$0.593,0.00,0.00%,133391468.00,Canada,,162787,,
GBR,New Concept Energy Inc Common Stock,$1.30,0.01,0.775%,6671514.00,United States,1993,30383,Real Estate,Real Estate
GENC,Gencor Industries Inc. Common Stock,$10.79,0.11,1.03%,158156605.00,United States,,18763,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.58,-0.03,-0.831%,551886782.00,United States,2005,530604,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.66,0.11,0.488%,,United States,,2158,,
GLDG,GoldMining Inc. Common Shares,$1.55,0.14,9.929%,246037489.00,,,8307949,,
GLO,Clough Global Opportunities Fund Common Stock,$5.85,0.06,1.036%,241900641.00,United States,2006,349174,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$7.45,0.065,0.88%,137584462.00,United States,2005,156073,Finance,Finance/Investors Services
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,$10.12,0.00,0.00%,181843750.00,,2021,54,Finance,Business Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$15.27,-0.11,-0.715%,91145271.00,United States,2004,5232,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$49.55,-0.03,-0.061%,,United States,,200,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$7.5439,0.3239,4.486%,94707735.00,United States,2004,39063,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.405,-0.017,-4.028%,9999719.00,,2022,320133,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$1.71,0.02,1.183%,151160766.00,United States,,222884,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.09,0.00,0.00%,35697003.00,United States,,52,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.20,-0.08,-6.25%,38988784.00,,2022,30256,,
GROY,Gold Royalty Corp. Common Shares,$2.81,-0.06,-2.091%,404395724.00,,2021,342405,,
GSAT,Globalstar Inc. Common Stock,$1.87,0.01,0.538%,3367870000.00,United States,2006,2928839,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$1.13,-0.02,-1.739%,404726356.00,Canada,,3055923,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,$10.12,-0.04,-0.394%,117708250.00,,2022,2227,Industrials,Consumer Electronics/Appliances
HNW,Pioneer Diversified High Income Fund Inc.,$10.42,-0.05,-0.478%,86848189.00,United States,2007,28427,Finance,Finance/Investors Services
HPX,HPX Corp. Class A Ordinary Shares,$9.87,0.00,0.00%,119747943.00,United States,2020,4000,Finance,Business Services
HUSA,Houston American Energy Corporation Common Stock,$4.00,0.02,0.503%,39713352.00,United States,,232769,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$62.00,0.00,0.00%,,United States,,354,,
HZON,Horizon Acquisition Corporation II Class A Ordinary Shares,$9.92,-0.01,-0.101%,301057398.00,United States,2020,16843,Finance,Business Services
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.73,-0.02,-0.421%,115314799.00,United States,1985,30117,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$2.93,-0.01,-0.34%,704280048.00,,2022,604379,,
IBIO,iBio Inc. Common Stock,$1.70,0.10,6.25%,15280929.00,United States,,96287,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$1.28,0.03,2.40%,43666495.00,United States,2017,8079,Consumer Discretionary,Auto Parts:O.E.M.
IDR,Idaho Strategic Resources Inc. Common Stock,$6.05,0.16,2.716%,73193324.00,,2022,18009,Basic Materials,Precious Metals
IDW,IDW Media Holdings Class B Common Stock,$1.21,0.0099,0.825%,17036205.00,,2021,379,Consumer Discretionary,Newspapers/Magazines
IE,Ivanhoe Electric Inc. Common Stock,$11.82,1.64,16.11%,1097935191.00,,2022,329192,Basic Materials,Metal Mining
IGC,India Globalization Capital Inc. Common Stock,$0.4389,0.0426,10.749%,23291298.00,United States,,290159,Consumer Discretionary,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.72,-0.04,-2.273%,15687656.00,United States,1999,3256,Real Estate,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$0.2447,-0.0252,-9.337%,8947938.00,United States,1997,41770,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$55.93,-0.30,-0.534%,33828833922.00,Canada,1929,268055,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$6.30,0.04,0.639%,63898972.00,,2019,114560,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$8.87,0.07,0.795%,183222037.00,United States,,46860,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$4.70,0.42,9.813%,,,2022,27173,Technology,EDP Services
INTT,inTest Corporation Common Stock,$11.00,-0.27,-2.396%,121252439.00,United States,1997,16137,Technology,Semiconductors
INUV,Inuvo Inc.,$0.2999,0.0096,3.307%,36028452.00,United States,,279636,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$12.02,0.00,0.00%,50104336.00,United States,1987,38,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,$27.83,1.04,3.882%,105504087.00,United States,,6642,Technology,Computer Software: Prepackaged Software
ISR,IsoRay Inc. Common Stock (DE),$0.3856,0.0038,0.995%,54798683.00,United States,,319211,Health Care,Medical Specialities
ITP,IT Tech Packaging Inc. Common Stock,$0.63,0.0024,0.382%,7192030.00,China,,47396,Basic Materials,Paper
ITRG,Integra Resources Corp. Common Shares,$0.74,0.04,5.714%,58907651.00,,,166458,,
JOB,GEE Group Inc. Common Stock,$0.79,0.0032,0.407%,90139359.00,United States,1968,250254,Consumer Discretionary,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.239,-0.012,-4.781%,12982501.00,Canada,,32473,,
KNW,Know Labs Inc. Common Stock,$1.69,0.09,5.625%,81101885.00,,2022,118754,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$1.73,-0.01,-0.575%,195051596.00,United States,,250722,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.50,0.02,1.351%,224972021.00,United States,,235283,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$38.25,0.93,2.492%,556145667.00,United States,2014,177467,,
LGL,LGL Group Inc. (The) Common Stock,$4.61,-0.012,-0.26%,24677040.00,United States,1946,2644,Technology,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$174.72,-0.81,-0.461%,43445771416.00,United States,2001,1435298,Utilities,Oil/Gas Transmission
LODE,Comstock Inc. Common Stock,$0.3601,-0.0076,-2.067%,30988546.00,United States,,287603,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$4.00,0.09,2.302%,225524836.00,,2022,3983,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$1.30,0.18,16.071%,11989409.00,,2020,198748,Consumer Staples,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$14.73,-0.26,-1.734%,400783282.00,United Kingdom,2012,81479,Industrials,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$16.57,0.25,1.532%,1636640408.00,Canada,,405741,,
MAIA,MAIA Biotechnology Inc. Common Stock,$3.69,0.17,4.83%,40390386.00,,2022,8754,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.2955,-0.0232,-1.759%,51085217.00,,2022,2103,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,$13.92,0.50,3.726%,161718509.00,United States,,13141,Consumer Discretionary,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,$1.69,-0.03,-1.744%,124932395.00,,2020,52615,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$1.163,0.003,0.259%,12744617.00,United States,2021,63923,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$0.68,0.09,15.254%,47460824.00,United States,2015,141320,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$4.57,-0.03,-0.652%,673523648.00,,,167104,Basic Materials,Precious Metals
MNK,Mallinckrodt plc Ordinary Shares,$10.50,-0.20,-1.869%,138294786.00,,2022,15730,Health Care,Biotechnology: Pharmaceutical Preparations
MPTI,M-tron Industries Inc. Common Stock,$9.525,-0.365,-3.691%,25972751.00,,2022,11499,,
MSN,Emerson Radio Corporation Common Stock,$0.5605,-0.0045,-0.796%,11794406.00,United States,1994,7790,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$5.80,0.20,3.571%,261085486.00,,,279825,,
MTMT,Mega Matrix Corp. Common Stock,$1.88,0.00,0.00%,49790023.00,United States,1998,99707,Consumer Discretionary,Diversified Commercial Services
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.6651,-0.0137,-2.018%,144236596.00,United States,2017,306275,Health Care,Biotechnology: Pharmaceutical Preparations
MXC,Mexco Energy Corporation Common Stock,$14.16,-0.44,-3.014%,30435731.00,United States,2003,3183,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$0.6405,-0.0975,-13.211%,4518647.00,United States,2017,1637169,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.2525,-0.0005,-0.198%,133769295.00,Canada,,838387,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$0.2663,-0.0037,-1.37%,8618630.00,United States,,171899,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$11.34,0.025,0.221%,213681480.00,United States,2002,111604,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$10.06,0.06,0.60%,51078815.00,United States,2002,15625,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$11.08,0.02,0.181%,61505568.00,United States,2002,22533,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$2.065,-0.065,-3.052%,3834313.00,United States,2007,48003,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$74.55,-1.45,-1.908%,267993682.00,United States,,4820,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$2.25,0.05,2.273%,352626246.00,,2021,251533,,
NFGC,New Found Gold Corp Common Shares,$4.84,0.25,5.447%,818065338.00,,2021,218112,,
NG,Novagold Resources Inc.,$6.11,0.08,1.327%,2037014348.00,Canada,2003,999015,,
NGD,New Gold Inc.,$1.23,0.05,4.237%,839229000.00,Canada,,5843083,,
NHC,National HealthCare Corporation Common Stock,$60.08,-0.62,-1.021%,921873708.00,United States,1986,26466,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$9.09,-0.04,-0.438%,176641789.00,United States,,32627,Finance,Trusts Except Educational Religious and Charitable
NHWK,NightHawk Biosciences Inc. Common Stock,$1.286,0.046,3.71%,33000674.00,United States,2022,35217,Health Care,Biotechnology: Pharmaceutical Preparations
NILE,BitNile Holdings Inc. Common Stock,$0.1393,0.00,0.00%,49696836.00,United States,1997,3291531,Industrials,Military/Government/Technical
NILE^D,BitNile Holdings Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$13.00,-0.038,-0.291%,,United States,,1208,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$7.10,-0.05,-0.699%,402278389.00,,2013,205072,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.69,0.08,4.969%,19620900.00,United States,,72594,Health Care,Biotechnology: Pharmaceutical Preparations
